common_name,scientific_name,temp_air_c,temp_water_c,soil_moisture,humidity,nutrient,ph,min_germination_days,max_germination_days,instructions
Speedwell,"Veronica austriaca, fruticans, fruticulosa, gentianoides, gutheriana, officinalis, prostrata, satureioides, schmidtiana, and virginica,",,,,,,,,,"Sow at 20ºC (68ºF), if no germination in 3-4 wks, move to -4 to +4ºC (24-39ºF) for 2-4 wks"
Speedwell,"Veronica incana, longifolia, spicata, subsessilis, teucrium, and urticifolia,",,,,,,,,,"Sow at 20ºC (68ºF), germinates in less than two wks"
Speedwell,"Veronica repens ,",,,,,,,,,"Sow at 20ºC (68ºF), germination slow"
,"Veronicastrum sibiricum, virginica, and virginicum ,",,,,,,,,,"Sow at 20ºC (68ºF) in light, if no germination in 3-4 wks, move to -4 to +4ºC (24-39ºF) for 2-4 wks"
,"Vicis americana ,",,,,,,,,,"Sow at -4 to +4ºC (24-39ºF) for 12 wks, move to 20ºC (68ºF) for germination"
,"Viguiera dentata ,",,,,,,,,,"Sow at 20ºC (68ºF), germination slow"
,Viguiera multiflora,,,,,,,,,"Sow at Max. 5ºC (41ºF), germination irregular, often several months"
,"Vincetoxicum forrestii, and hirundinaria",,,,,,,,,"Sow at Max. 5ºC (41ºF), germination irregular, often several months"
Violet,"Viola cornuta,",,,,,,,,,"Sow at 20ºC (68ºF), germinates in less than two wks"
Violet,"Viola coreana, mirabilis, nigra, and pedatifida ,",,,,,,,,,"Sow at 20ºC (68ºF), if no germination in 3-4 wks, move to -4 to +4ºC (24-39ºF) for 2-4 wks"
Violet,"Viola elatior, jooi, labradorica, obliqua, pumila, reichenbachiana, rupestris, and triloba,",,,,,,,,,"Sow at Max. 5ºC (41ºF), germination irregular, often several months"
Violet,"Viola lanceolata, papilionacea, and sagittata,",,,,,,,,,"Sow at -4 to +4ºC (24-39ºF) for 12 wks, move to 20ºC (68ºF) for germination"
Violet,"Viola odorata, pedata, and sororia,",,,,,,,,,"Sow at 18-22ºC (64-71ºF) for 2-4 wks, move to -4 to +4ºC (24-39ºF) for 4-6 wks, move to 5-12ºC (41-53ºF) for germination"
,"Vitaliana primuliflora ,",,,,,,,,,"Sow at 18-22ºC (64-71ºF) for 2-4 wks, move to -4 to +4ºC (24-39ºF) for 4-6 wks, move to 5-12ºC (41-53ºF) for germination"
,Vitex agnus-castus,,,,,,,,,"Sow at 22-24ºC (71-75ºF), germination in less than 2 weeks"
,"Vitis vulpina ,",,,,,,,,,"Sow at -4 to +4ºC (24-39ºF) for 12 wks, move to 20ºC (68ºF) for germination"
,"Vulpia octoflora,",,,,,,,,,"Sow at -4 to +4ºC (24-39ºF) for 12 wks, move to 20ºC (68ºF) for germination"
,"Wahlenbergia akaroa, albomarginata, and congesta ,",,,,,,,,,"Sow at 20ºC (68ºF), if no germination in 3-4 wks, move to -4 to +4ºC (24-39ºF) for 2-4 wks"
,Wyethia helianthoides,,,,,,,,,"Sow at Max. 5ºC (41ºF), germination irregular, often several months"
,"Wulfenia bullii , and carinthiaca,",,,,,,,,,"Sow at 20ºC (68ºF), if no germination in 3-4 wks, move to -4 to +4ºC (24-39ºF) for 6-12 wks , move to 5-12ºC (41-53ºF) for germination"
,Xerophyllum tenax,,,,,,,,,"Sow at 18-22ºC (64-71ºF) for 2-4 wks, move to -4 to +4ºC (24-39ºF) for 4-6 wks, move to 5-12ºC (41-53ºF) for germination"
,"Yucca baccata, filamentosa, and glauca,",,,,,,,,,"Sow at 22-24ºC (71-75ºF), germination in less than 2 weeks"
,"Zigadenus elegans, nuttallii, and venosus,",,,,,,,,,"Sow at 20ºC (68ºF), germination slow"
,"Zizea aptera , and aurea,",,,,,,,,,"Sow at -4 to +4ºC (24-39ºF) for 12 wks, move to 20ºC (68ºF) for germination"
Radish,Raphanus sativus,18.0,16.0,3,65.0,1.8,6.3,3,5,"Sow direct 1cm deep. Keep medium evenly moist, not waterlogged. Germinates quickly in cool to mild conditions."
Lettuce,Lactuca sativa,18.0,16.0,3,65.0,1.2,5.8,2,7,"Surface sow or barely cover; needs light for best germination. Keep cool and evenly moist. Avoid warm conditions above about 25°C."
Spinach,Spinacia oleracea,16.0,14.0,3,65.0,2.0,6.2,5,10,"Sow 1-2cm deep. Prefers cool conditions. Keep evenly moist; germination becomes poor in warm conditions."
Arugula,Eruca vesicaria,18.0,16.0,3,60.0,1.2,6.2,3,6,"Sow 0.5cm deep. Germinates readily in cool to mild conditions. Keep evenly moist and harvest young."
Mustard Greens,Brassica juncea,18.0,16.0,3,60.0,1.8,6.2,3,6,"Sow 0.5-1cm deep. Cool-season crop. Keep evenly moist for fast germination and mild flavor."
Kale,Brassica oleracea,18.0,16.0,3,65.0,2.0,6.2,5,8,"Sow 0.5-1cm deep. Germinates best in cool to mild conditions. Transplant after 4-6 weeks if started indoors."
Cucumber,Cucumis sativus,26.0,24.0,4,75.0,2.2,5.8,3,7,"Sow 1-2cm deep. Needs warmth for fast germination. Keep medium very moist but well-aerated; avoid cold water."
Bean,Phaseolus vulgaris,24.0,22.0,3,60.0,2.0,6.3,4,8,"Sow 2.5-4cm deep direct. Keep moist but do not overwater. Needs warm conditions and can rot if kept too wet."
Pea,Pisum sativum,16.0,14.0,3,60.0,1.4,6.5,5,10,"Sow 2.5-3cm deep. Cool-season crop. Keep evenly moist; a brief soak can speed germination."
Basil,Ocimum basilicum,24.0,22.0,3,65.0,1.3,5.8,5,10,"Surface sow or barely cover; needs light. Keep warm and evenly moist. Very sensitive to cold."
